Numero_ID,Document_index,Title,Author_Contact_Contractor,Organisation,Organisation_type,Finance_type,Executor_type,Publication_date,Activity_initiation_year,Compensation,Project_phase,Monitoring,Monitoring_years,Target_land_cover,Restoration_type,Restoration_action,Restoration_action_1,Restoration_action_2,Restoration_action_3,Restoration_action_4,Restoration_action_5,Disturbance,Disturbance_1,Disturbance_2,Disturbance_3,Disturbance_4,Type_of_land_being_restored,Main_aim_of_restoration,Land_area_ha,Location_coordinate_system,Department,Code_DANE_Dep,Municipality,Code_DANE_Mun,Dept_Mun,Dept,Mun,Location,Biogeographic_region,Potential_ecosystem,Reference,Source,Remarks,Costs,Notes,Notes_2,Lat_dec_FINAL,Lon_dec_FINAL
RE00001,a,Programa de conservación y repoblación forestal de la Cuenca del río Otún,Carolina Murcia,Carder,Environmental authorities,National government,Public,2003,1963,No,Implementation,Yes,>5year,NI,Natural regeneration and assisted restoration,Forest Plantation,Forest Plantation,NA,NA,NA,NA,Several disturbances,Disturbance,NA,NA,NA,Forestry,NI,NI,NI,RISARALDA,66,ABEJORRAL,5002,ANTIOQUIA_ABEJORRAL,ANTIOQUIA,ABEJORRAL,Cuenca del ríon Otún,Norandina,Andean forest,https://scholar.google.com.co/citations?view_op=view_citation&hl=en&user=QH-NZsQAAAAJ&cstart=20&pagesize=80&citation_for_view=QH-NZsQAAAAJ:RGFaLdJalmkC,NA,"No es claro cuando inicio el proyecto, ni cuando se implemento. Solo existe un resumen en google scholar que habla de ese lugar por lo que se pueden intuir algunas cosas, como la fecha de publicación en el 2003 y una fecha de actuaciones 40 años atrás.",-,NA,NA,NA,NA
RE00002,a,Acciones de conservación en ocho parques nacionales naturales del área de influencia del Macizo colombiano (esto son varias implementaciones),Johana Puentes,PNN,National Natural Park,National and International,Public,2014,NI,No,Implementation,NI,NI,NI,Natural regeneration and assisted restoration,NI,NI,NA,NA,NA,NA,Several disturbances,Several disturbances,NA,NA,NA,Forestry,Ecological connectivity,NI,NI,"HUILA, CAUCA, NARIÑO, PUTUMAYO","41, 19, 52, 86",NI,NA,NA,NA,NA,NI,Norandina,Several ecosystems,https://www.parquesnacionales.gov.co/portal/wp-content/uploads/2018/07/1.5-Plan-Prospectivo-SIRAP-Macizo.pdf,NA,"El titulo hace referencia a 8 parques nacionales, es un proyecto muy amplio, tendria que buscar la implementación de cada uno de esos 8 parques.Parte de la financiación viende de un GEF. Se encontro un informe tecnico en el que se hace referencia del proyecto de forma muy general. Se adjunta informe.",-,NA,NA,NA,NA
RE00003,a,"Aplicación experimental de mezclas estériles y biosólidos como una estrategia de restauración ecológica de áreas afectadas por minería a cielo abierto. El caso de la Arenera Juan Rey, Bogotá DC.",Sandra Montoya,ERE,University,National,Public,2010,2005,No,Implementation,Yes,1-5year,Mining extraction areas,Assisted restoration,"Organic Amendments, nuclei revegetation, invasive species control",Organic Amendments,nuclei revegetation,invasive species control,NA,NA,Mining and extractive industry,Several disturbances,NA,NA,NA,Forestry-production,Soil erosion prevention,NI,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.","Parque ecolgico distrital de montaña entre nubes, Arenera Juan Rey",Norandina,High Andean forest,https://repository.javeriana.edu.co/bitstream/handle/10554/8518/tesis474.pdf?sequence=1&isAllowed=y,NA,"En el proyecto tambien participo la Secretaria Distrital de Ambiente de Bogotá (SDA), se encontro una tesis de Mauricio Agudelo de la Universidad Javeriana con la información más actualizada del lugar a fecha de 2010. Se adjunta la tesis.La implementaciòn es pequeña a escala experimental.",-,NA,NA,4.543,-74.1925
RE00004,a,"Experiencias piloto de Restauración ecológica mediante el uso de biosólidos, en la cantera de Soratama, Localidad de Usaquén, Bogotá.",Jose Ignacio Barrera,ERE,University,National,Public,2007,2004,No,Implementation,Yes,1-3year,Mining extraction areas,Assisted restoration,"Organic Amendments, nuclei revegetation, invasive species control",Organic Amendments,nuclei revegetation,invasive species control,NA,NA,Mining and extractive industry,Mining and extractive industry,NA,NA,NA,Forestry-production,Soil erosion prevention,5.8,NI,CUNDINAMARCA,11,"BOGOTÃ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Cantera Soratama,Norandina,High Andean forest,https://revistas.javeriana.edu.co/index.php/scientarium/article/view/4890,NA,"En el proyecto tambien participo la Secretaria Distrital de Ambiente de Bogotá (SDA), se encontro una publicaciòn que se adjunta. La implementaciòn es pequeña a escala experimental.",-,NA,NA,4.7445,-74.0202
RE00005,a,"Factibilidad técnica, ambiental, económica y financiera para el desarrollo de la infraestructura de acueducto y alcantarillado sanitario, y sistema de drenaje pluvial del Borde Norte de la ciudad de Bogotá",Sandra Gonzalez,ECODES,Company,National government,Public and private,2010,2010,No,Planing,NI,NI,NI,NI,NI,NI,NA,NA,NA,NA,Civil works and infrastructure,Mining and extractive industry,NA,NA,NA,NI,NI,NI,NI,CUNDINAMARCA,25,"BOGOTÁ, D.C.",11001,"BOGOTA, D.C._BOGOTA, D.C.","BOGOTA, D.C.","BOGOTA, D.C.",Borde Norte de Bogotá,Norandina,NI,NA,NA,Este registro por si solo o con su titulo no dice nada sobre implementaciones en restauración. Habla es sobre infraestructura de alcantarillado. Pero Carolina Murcia lo tenia en su estudio,-,NA,NA,NA,NA
RE00006,a,Sellado final del depósito de borra de café en el predio La Francia mediante procedimientos de bioingeniería y restauración ecológica,Enrique Murgueitio,CIPAV,NGO,National,Private,2008,2008,No,Implementation,NI,NI,NI,Assisted restoration,"Bioengineering, tree planting, perimeter isolation",Bioengineering,tree planting,perimeter isolation,NA,NA,Agricultural and livestock use,Civil works and infrastructure,NA,NA,NA,NI,NI,4,NI,VALLE DEL CAUCA,76,BUGALAGRANDE,76113,VALLE DEL CAUCA_BUGALAGRANDE,VALLE DEL CAUCA,BUGALAGRANDE,Predio la Francia,Norandina,NI,NA,NA,NA,-,NA,NA,4.17038,-76.0768
RE00007,a,Restauración del paisaje forestal en el corredor de conservación Guantivá La Rusia-Iguaque. Estudio de caso: Cuenca del río Guacha,Clara Solano,Fundación Natura,NGO,National and International,Private,2007,2007,No,Implementation,NI,NI,Mosaic of crops with natural spaces,Natural regeneration and assisted restoration,"Agroforestry system, silvopastoral, plant enrichment, live fences, perimeter isolation",Agroforestry system,silvopastoral,plant enrichment,live fences,perimeter isolation,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,Forestry,Ecological connectivity,1756,NI,BOYACA,15,ENCINO,68264,SANTANDER_ENCINO,SANTANDER,ENCINO,Cuenca del río Guacha,Norandina,Andean forest,https://d1wqtxts1xzle7.cloudfront.net/11024506/15-ecosistemico-with-cover-page-v2.pdf?Expires=1631845683&Signature=VK7sBFge8-Fk78p1DJSQ8n4GPfsB1pnwUhsrRZ0XOqqYXh2oITjvaaxCnurnaGR1iWeUcta~z0LcKoU1qzElI6MK-Nf0qMJVin~-L5mvekiI5HRIzYSInJf1HMyYH~i~Rk-6I3JdN7hrzyVURhriABm-XflCbewTTOtP85s~Nc2MEGtFyCjjDTAR-PheOiC8pXmIthhwLgyy~uP5mRXmMtmLL1jhuja1ss3MOImnDVDlKpn48MNW4mm8-i7Bkh4yV7z1eokm1ClSLg0lnsZChUhIPxiHvS35GvSCNFxeoTdl9BvB6Mzwcz7-9OnqqhUTe7Ocfe-yh-5BTEJl5pq7NQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=31,NA,"Este proyecto se localiza en un corredor que esta entre dos departamentos Santander y Boyaca y tambien cubre 67 municipios. Esta es un área en la que fundación Natura ha trabajado por años es posible que sigamos encontrando información de este lugar, así mismo por ser una impementación tan grande es posible que se encuentre información de cada una de las partes ejecutadas.",-,NA,NA,NA,NA
RE00007,a,Restauración del paisaje forestal en el corredor de conservación Guantivá La Rusia-Iguaque. Estudio de caso: Cuenca del río Guacha,Clara Solano,Fundación Natura,NGO,National and International,Private,2007,2007,No,Implementation,NI,NI,Mosaic of crops with natural spaces,Natural regeneration and assisted restoration,"Agroforestry system, silvopastoral, plant enrichment, live fences, perimeter isolation",Agroforestry system,silvopastoral,plant enrichment,live fences,perimeter isolation,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,Forestry,Ecological connectivity,1756,NI,BOYACA,15,BELÉN,15087,BOYACA_BELEN,BOYACA,BELEN,Cuenca del río Guacha,Norandina,Andean forest,https://d1wqtxts1xzle7.cloudfront.net/11024506/15-ecosistemico-with-cover-page-v2.pdf?Expires=1631845683&Signature=VK7sBFge8-Fk78p1DJSQ8n4GPfsB1pnwUhsrRZ0XOqqYXh2oITjvaaxCnurnaGR1iWeUcta~z0LcKoU1qzElI6MK-Nf0qMJVin~-L5mvekiI5HRIzYSInJf1HMyYH~i~Rk-6I3JdN7hrzyVURhriABm-XflCbewTTOtP85s~Nc2MEGtFyCjjDTAR-PheOiC8pXmIthhwLgyy~uP5mRXmMtmLL1jhuja1ss3MOImnDVDlKpn48MNW4mm8-i7Bkh4yV7z1eokm1ClSLg0lnsZChUhIPxiHvS35GvSCNFxeoTdl9BvB6Mzwcz7-9OnqqhUTe7Ocfe-yh-5BTEJl5pq7NQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=31,NA,"Este proyecto se localiza en un corredor que esta entre dos departamentos Santander y Boyaca y tambien cubre 67 municipios. Esta es un área en la que fundación Natura ha trabajado por años es posible que sigamos encontrando información de este lugar, así mismo por ser una impementación tan grande es posible que se encuentre información de cada una de las partes ejecutadas.",-,NA,NA,NA,NA
RE00007,a,Restauración del paisaje forestal en el corredor de conservación Guantivá La Rusia-Iguaque. Estudio de caso: Cuenca del río Guacha,Clara Solano,Fundación Natura,NGO,National and International,Private,2007,2007,No,Implementation,NI,NI,Mosaic of crops with natural spaces,Natural regeneration and assisted restoration,"Agroforestry system, silvopastoral, plant enrichment, live fences, perimeter isolation",Agroforestry system,silvopastoral,plant enrichment,live fences,perimeter isolation,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,Forestry,Ecological connectivity,1756,NI,BOYACA,15,DUITAMA,15238,BOYACA_DUITAMA,BOYACA,DUITAMA,Cuenca del río Guacha,Norandina,Andean forest,https://d1wqtxts1xzle7.cloudfront.net/11024506/15-ecosistemico-with-cover-page-v2.pdf?Expires=1631845683&Signature=VK7sBFge8-Fk78p1DJSQ8n4GPfsB1pnwUhsrRZ0XOqqYXh2oITjvaaxCnurnaGR1iWeUcta~z0LcKoU1qzElI6MK-Nf0qMJVin~-L5mvekiI5HRIzYSInJf1HMyYH~i~Rk-6I3JdN7hrzyVURhriABm-XflCbewTTOtP85s~Nc2MEGtFyCjjDTAR-PheOiC8pXmIthhwLgyy~uP5mRXmMtmLL1jhuja1ss3MOImnDVDlKpn48MNW4mm8-i7Bkh4yV7z1eokm1ClSLg0lnsZChUhIPxiHvS35GvSCNFxeoTdl9BvB6Mzwcz7-9OnqqhUTe7Ocfe-yh-5BTEJl5pq7NQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=31,NA,"Este proyecto se localiza en un corredor que esta entre dos departamentos Santander y Boyaca y tambien cubre 67 municipios. Esta es un área en la que fundación Natura ha trabajado por años es posible que sigamos encontrando información de este lugar, así mismo por ser una impementación tan grande es posible que se encuentre información de cada una de las partes ejecutadas.",-,NA,NA,NA,NA
RE00007,a,Restauración del paisaje forestal en el corredor de conservación Guantivá La Rusia-Iguaque. Estudio de caso: Cuenca del río Guacha,Clara Solano,Fundación Natura,NGO,National and International,Private,2007,2007,No,Implementation,NI,NI,Mosaic of crops with natural spaces,Natural regeneration and assisted restoration,"Agroforestry system, silvopastoral, plant enrichment, live fences, perimeter isolation",Agroforestry system,silvopastoral,plant enrichment,live fences,perimeter isolation,Agricultural and livestock use,Agricultural and livestock use,NA,NA,NA,Forestry,Ecological connectivity,1756,NI,BOYACA,15,SANTA ROSA DE VITERBO,15693,BOYACA_SANTA ROSA DE VITERBO,BOYACA,SANTA ROSA DE VITERBO,Cuenca del río Guacha,Norandina,Andean forest,https://d1wqtxts1xzle7.cloudfront.net/11024506/15-ecosistemico-with-cover-page-v2.pdf?Expires=1631845683&Signature=VK7sBFge8-Fk78p1DJSQ8n4GPfsB1pnwUhsrRZ0XOqqYXh2oITjvaaxCnurnaGR1iWeUcta~z0LcKoU1qzElI6MK-Nf0qMJVin~-L5mvekiI5HRIzYSInJf1HMyYH~i~Rk-6I3JdN7hrzyVURhriABm-XflCbewTTOtP85s~Nc2MEGtFyCjjDTAR-PheOiC8pXmIthhwLgyy~uP5mRXmMtmLL1jhuja1ss3MOImnDVDlKpn48MNW4mm8-i7Bkh4yV7z1eokm1ClSLg0lnsZChUhIPxiHvS35GvSCNFxeoTdl9BvB6Mzwcz7-9OnqqhUTe7Ocfe-yh-5BTEJl5pq7NQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=31,NA,"Este proyecto se localiza en un corredor que esta entre dos departamentos Santander y Boyaca y tambien cubre 67 municipios. Esta es un área en la que fundación Natura ha trabajado por años es posible que sigamos encontrando información de este lugar, así mismo por ser una impementación tan grande es posible que se encuentre información de cada una de las partes ejecutadas.",-,NA,NA,NA,NA
